,name,role,team,minutes_played,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,points10m,totalPoints,eliminations_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,ultimates_earned_avg_per_10m,deaths_avg_per_10m,final_blows_avg_per_10m,player,fantasyTeam
22,KSF,offense,VAL,28.42217715581258,2,2,2,2,5,5,5,5,2,2,2,2,22,22,22,22,19.876058750525544,56.492086296677584,17.240058610351415,0.0,11256.029445349835,4.925731031528976,4.573893100705478,5.629406893175972,FreeAgent,FreeAgent
23,KUKI,tank,VAL,199.837800253431,4,4,4,4,5,5,5,5,16,16,16,16,22,22,22,22,15.579544293463313,311.33818605566023,11.058968809691232,6237.37928337222,3812.6806052454776,3.052475553806177,4.303490125038217,1.6513392340262925,FreeAgent,FreeAgent
24,SPACE,tank,VAL,288.44771321912606,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,16.047244851667827,462.87910809309784,17.680847398938003,0.3785781304205089,7206.442574068404,4.264204372685048,3.5708378080208125,5.200249234981765,SPACE,Cougum
25,AID,support,TOR,201.19308672845364,3,3,3,3,5,5,5,5,13,13,13,13,21,21,21,21,25.88899742657917,520.8687304558456,16.253043547234082,10708.95709470882,7053.5185582533095,4.721832223202561,4.920646211547933,3.181023813525936,AID,Cougum
26,ENVY,tank,TOR,306.89286330242953,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,17.617057363055945,540.6549177111388,19.68113541320068,169.45497470863413,7607.034681746972,3.5191434182544254,4.170836643857097,6.451762933466448,ENVY,MattyIce
27,IVY,offense,TOR,306.9090643286705,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,22.21233474268356,681.7166872432232,20.98341413958165,21.187433282501942,11699.440239610232,5.148104711263821,5.08293882884276,6.744668830579816,IVY,Not another
28,NEKO,support,TOR,105.69977657397588,2,2,2,2,5,5,5,5,8,8,8,8,21,21,21,21,25.761408504035114,272.2975123107434,14.853389958693125,10635.500692249714,7699.212832438834,5.108809285155597,3.784303174189331,4.068125912253531,NEKO,Cougum
29,ROKY,support,TOR,306.8928526779016,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,17.417432989365565,534.528569643259,13.424880912179901,6307.075487539379,4397.917045736238,3.1932969160039577,4.20342145065827,1.9550797444922188,FreeAgent,FreeAgent
30,STELLAR,offense,TOR,306.8441984107097,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,22.83665014338606,700.7293607633114,17.859226370853662,8630.593452864694,5276.443505094534,4.823294713296245,4.790704884152351,4.660345567576777,STELLAR,Not another
31,YAKPUNG,tank,TOR,306.89286330242953,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,14.397331001203959,441.8438134872318,15.314790801662777,0.0,6739.93560037257,3.910159353616028,6.451762933466448,4.529267917938566,YAKPUNG,PopeRonPaul
32,AIMGOD,support,BOS,302.83454512755077,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,24.475920621926257,741.2154288119078,13.835938030898077,10094.318822524812,7463.632783952406,4.7880931133179505,4.7880931133179505,3.5332825043104874,AIMGOD,Not another
33,ALEMAO,support,BOS,27.59469582438469,1,1,1,1,5,5,5,5,2,2,2,2,21,21,21,21,16.306408776888315,44.997039018630986,13.045985441951409,4990.147961771174,4793.2680941414355,3.261496360487852,4.711050298482453,1.8119424224932512,ALEMAO,Bobble
34,AXXIOM,tank,BOS,180.29269075294334,3,3,3,3,5,5,5,5,13,13,13,13,21,21,21,21,14.022239439419845,252.81072789150477,13.589014561645524,0.0,7227.732158597083,3.771644857926104,6.323051673581998,3.383387299021946,AXXIOM,Not another
35,BLASE,offense,BOS,302.8020322014888,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,20.888505370398036,632.5081875808239,14.696070457806261,8706.787593344667,4833.68254815024,4.821632105257784,6.208676957455229,3.1043384787276147,BLASE,Cougum
36,COLOURHEX,offense,BOS,170.96670241355895,3,3,3,3,5,5,5,5,12,12,12,12,21,21,21,21,17.942245307338965,306.75265140908954,16.786894520885298,18.26901433648566,9530.529032559833,4.328328203991331,5.088710185773592,4.1528554389646555,FreeAgent,FreeAgent
37,FUSIONS,tank,BOS,254.3609967082739,4,4,4,4,5,5,5,5,17,17,17,17,21,21,21,21,15.352644428281192,390.5113938885332,14.3496842960801,0.0,8177.80228024114,4.4818192048031,6.840671417857363,4.835647036761239,FreeAgent,FreeAgent
38,KELLEX,support,BOS,275.2235982626677,5,5,5,5,5,5,5,5,19,19,19,19,21,21,21,21,16.858311168511936,463.9805060429573,12.317257754782547,5992.311913943387,4707.370377177275,3.4154048051609425,4.614429896334465,2.0347092456277953,FreeAgent,FreeAgent
39,NOTE,tank,BOS,302.8508021523555,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,15.626518505219687,473.250366415441,16.906014326566897,12.207066825562903,7161.304275110677,4.028386226252269,5.250109917820581,5.778422865525795,NOTE,Jyeran
40,AKM,offense,DAL,196.25420371890067,5,5,5,5,5,5,5,5,15,15,15,15,21,21,21,21,20.904698065231095,410.26348727759716,21.298906829976026,24.43514864903401,10230.809501594047,4.84066064317637,4.382071740138608,6.929787868126171,AKM,Overdrive
41,CLOSER,support,DAL,263.54134734471637,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,15.830864270266098,417.2087299417257,13.394482632672826,5161.580097611268,3972.0428563184164,2.921742670583024,3.4529686106890285,1.7454566603483002,CLOSER,Overdrive
42,EFFECT,offense,DAL,91.10191070636114,4,4,4,4,5,5,5,5,8,8,8,8,21,21,21,21,15.76336942436488,143.60730737298726,13.17206182280665,8.554601401611384,9168.783911559944,4.6102216379823275,6.146962183976436,4.6102216379823275,FreeAgent,FreeAgent
43,OGE,tank,DAL,263.55754830340544,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,14.958290358431684,394.23703336787224,15.139008636575806,0.0,7388.786040143781,3.8321801310630486,6.374319425926655,5.046336212191935,FreeAgent,FreeAgent
44,RCK,tank,DAL,239.7913937707742,5,5,5,5,5,5,5,5,19,19,19,19,21,21,21,21,15.798802928873844,378.84169742244484,17.014789129172122,120.55762432598321,7170.850739961799,4.837538085745015,3.753262307905615,4.712429342148161,FreeAgent,FreeAgent
45,UNKOE,support,DAL,263.5737717082103,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,23.430445330999046,617.5650848694445,14.455156047233205,9162.790889913987,7040.076417468455,4.476924970009233,4.894265433315179,3.680184085516065,UNKOE,Jyeran
46,ZACHAREEE,offense,DAL,263.5737717082103,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,21.592829511287388,569.1303516142368,15.972757731982096,8654.83787008104,4951.6127752153,4.894265433315179,5.577186191452181,3.718124127634787,ZACHAREEE,Overdrive
47,AMENG,tank,CDH,236.6782203723987,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,14.814166255710894,350.61905057024956,15.506285260322981,0.0,7061.023625549405,4.520906056824411,6.7602333559991195,4.436403139874422,FreeAgent,FreeAgent
48,BACONJACK,offense,CDH,89.43013936976591,4,4,4,4,4,4,4,4,7,7,7,7,18,18,18,18,12.700435413603142,113.58017090952396,12.635561209714773,38.61282089478668,6344.04198785097,4.025488526988777,6.1500519162328535,5.367318035985036,FreeAgent,FreeAgent
49,ELSA,tank,CDH,236.6620955655972,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,15.99560942484298,378.5554446332157,17.36653260919345,59.10827756460981,7253.234842681646,3.2958383053943767,3.8451446896267734,5.91560721481042,ELSA,Jyeran
50,JINMU,offense,CDH,236.64577884972095,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,21.227110431054186,502.3306080685854,16.142269761024746,4989.972626062244,8166.0029244795705,5.155384583363924,6.592131106596493,6.127301349080074,JINMU,Jyeran
51,KYO,support,CDH,236.64587744971115,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,20.398790644112083,482.7289710888862,12.803941622198323,8450.021603634877,5546.798229378046,4.563781172268709,5.239896901493703,3.084778014589035,KYO,Dragonbeard
52,LATEYOUNG,tank,CDH,147.23190862139066,4,4,4,4,4,4,4,4,11,11,11,11,18,18,18,18,17.660561917294118,260.01982384094595,18.270496016711842,183.72561679196534,8341.588292146233,4.075203572500783,5.773205061042775,4.482723929750861,LATEYOUNG,MattyIce
53,YVELTAL,support,CDH,236.6782203723987,4,4,4,4,4,4,4,4,18,18,18,18,18,18,18,18,13.550062188155971,320.70046046280856,7.394005233124037,7107.241536032006,2745.818035561948,3.337865219524565,5.07017501699934,1.3520466711998238,FreeAgent,FreeAgent
54,ANAMO,support,NYE,201.85095788737138,6,6,6,6,6,6,6,6,23,23,23,23,25,25,25,25,21.30692639694997,430.08235028600694,20.06430904459624,6200.943088616318,5073.828786035529,3.467905266967251,1.8330356411112614,1.9321186487388968,ANAMO,Overdrive
55,ARK,support,NYE,28.905455759167673,2,2,2,2,6,6,6,6,2,2,2,2,25,25,25,25,13.176866158228874,38.08833217811584,10.032708095530491,5154.747516908129,3005.7645935554997,2.421688160990119,2.7676436125601356,1.037866354710051,FreeAgent,FreeAgent
56,JJONAK,support,NYE,230.72393465141457,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,26.719184484599737,616.4755374963879,18.7670169830534,8669.59433938377,8666.081653689267,4.637576945003958,3.207296204956008,5.244362713509148,JJONAK,Dragonbeard
57,LIBERO,offense,NYE,217.19645119408767,6,6,6,6,6,6,6,6,24,24,24,24,25,25,25,25,22.481881062005883,488.29847828352445,20.120034079631207,7736.869082763998,4684.994939426283,4.281837916260188,3.3610125579246635,4.512044255844069,LIBERO,Dragonbeard
58,MANO,tank,NYE,230.75641364653904,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,17.42345973693635,402.05750822103033,18.634368302267525,0.0,8106.275585802587,4.940274387112785,4.20356680306965,5.806989191869414,MANO,Cougum
59,MEKO,tank,NYE,230.74016185998917,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,18.47669794067694,426.33162734699255,21.842751428155026,16.070950001927933,7539.251276597496,3.1203930611650033,2.817021513551739,6.370802499878549,MEKO,Bobble
60,NENNE,offense,NYE,230.75635845065116,6,6,6,6,6,6,6,6,25,25,25,25,25,25,25,25,22.828637238717008,526.7853197597265,22.967947819879647,0.030387793258453057,11344.632940983924,5.070282820614941,2.7734880386269762,7.757099358034825,NENNE,Jyeran
61,SAEBYEOLBE,offense,NYE,13.543710665901502,1,1,1,1,6,6,6,6,1,1,1,1,25,25,25,25,17.263400789206752,23.38105053985119,9.59855118046018,8532.988578475031,3931.13662050163,4.430100544827776,5.906800726437035,0.7383500908046293,FreeAgent,FreeAgent
62,APPLY,offense,FLA,63.52617679039637,2,2,2,2,5,5,5,5,6,6,6,6,22,22,22,22,18.811375913399473,119.5014791945219,12.750649274433473,7427.370104336916,5008.681171845823,4.879878117375774,6.4540323487873135,2.9908930396819255,FreeAgent,FreeAgent
63,BQB,offense,FLA,276.3614593098561,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,18.842313388123795,520.7289224715531,19.03304466959879,57.36636059745719,9268.424692726941,4.486877450627852,4.848722406323646,5.21056736201944,FreeAgent,FreeAgent
64,HAGOPEUN,support,FLA,276.32898979087673,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,20.813044942968627,575.1247683562636,12.883194060435626,9178.702956766678,5192.744955984136,4.2340834412105846,5.247368367312264,3.184609767748132,HAGOPEUN,Bobble
65,KRIS,support,FLA,276.31277859906356,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,15.2718071819892,421.97954766845703,13.17347687810605,5023.936520622548,3661.132222313626,2.714315290818554,4.342904465309687,2.4609791970088226,FreeAgent,FreeAgent
66,MCGRAVY,tank,FLA,56.29129467109839,2,2,2,2,5,5,5,5,5,5,5,5,22,22,22,22,13.122486296266313,73.86817429205776,14.211788957320671,0.0,6016.591817605977,3.375299877363659,3.375299877363659,3.908241963263184,FreeAgent,FreeAgent
67,SAYAPLAYER,offense,FLA,15.394056774179141,2,2,2,2,5,5,5,5,2,2,2,2,22,22,22,22,18.52535285949764,28.518033368080857,14.291229610703517,433.2865585838208,10946.45149556206,3.8976080756464135,5.196810767528551,8.444817497233895,FreeAgent,FreeAgent
