,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
115,4.307026612366905,13.45945816364658,3.768648285821042,10726.855378192657,8185.050609642676,SHAZ,4644,support,GLA,4406,7801.205570340157,5.383783265458631,Jyeran,25.641635069658623,130.02009283900261,333.39277723008394
104,4.964621728617002,13.859568992389129,3.999278614719251,8816.17224010998,6981.708703161032,RAWKUS,4136,support,HOU,4525,8701.569296002388,4.412997092104002,PopeRonPaul,22.727665439465575,145.02615493337314,329.6105929297804
118,2.911563947824909,14.719573291781485,3.477701382124197,11039.571140861975,7765.034976733525,SLEEPY,4488,support,SFS,4404,7418.693316400051,5.17611368502206,Jyeran,26.16439276348624,123.64488860666752,323.5093428702354
31,4.412997092104002,20.548017710109256,5.792058683386502,826.786736093823,10787.534579266128,DANTEH,4489,offense,HOU,4525,8701.569296002388,5.378340206001751,PopeRonPaul,21.888330170414577,145.02615493337314,317.438036252737
3,5.006243490903115,13.4258348165129,3.8684608793342257,9636.977309240374,7545.552745391762,AIMGOD,5863,support,BOS,4402,7910.1226442456245,4.551130446275559,Not Another...,23.895447462888587,131.83537740409375,315.0265334509611
19,5.238256353166955,18.708058404167694,4.489934017000246,8169.091241424583,7737.855766770363,BOOMBOX,4079,support,PHI,4524,7216.141679883003,5.404550205648445,Cougum,25.260976210278795,120.26902799805005,303.81130550920966
39,5.322120877262412,20.20742770585572,3.991590657946809,8421.336800020861,5613.395102929564,EQO,4083,offense,PHI,4524,7215.168705403805,4.32422321277571,Bobble,24.138445755878287,120.25281175673008,290.2715973581672
11,5.904835816890159,17.478314017994872,4.1727506439357125,7325.7371690851905,5999.708998448712,BAZZI,8676,offense,HZS,7693,7620.8723486065865,4.7238686535121275,Not Another...,22.064603176531335,127.0145391434431,280.2525403850078
60,5.3062090213796935,14.149890723679182,2.6915553006998443,8476.753685063937,5628.746549052708,HYDRATION,4645,offense,GLA,4406,7802.180395305157,5.075504281319706,Dragonbeard,21.180445595956236,130.0363399217526,275.42276232099533
17,5.839900643724651,13.651715790525156,3.0337146201167013,9007.06463055248,4856.241192682494,BLASE,8184,offense,BOS,4402,7911.093496024609,5.005629123192557,FreeAgent,20.689163718497554,131.8515582670768,272.78984755265714
