,name,role,teamName,matchesPlayed,matchesPlayedTeam,mapsPlayed,mapsPlayedTeam,points,eliminations,damage,healing,player,fantasyTeam
114,GEGURI,tank,Shanghai Dragons,3,4,8,16,175.56912496417763,155,98069.12496417761,0.0,FreeAgent,FreeAgent
116,GESTURE,tank,London Spitfire,5,5,21,21,496.034620943904,429,281534.6209439039,0.0,GESTURE,Dragonbeard
119,GIDO,support,Washington Justice,3,3,13,13,420.3152603738308,138,201186.9130256176,150128.3473482132,GIDO,Bobble
122,GODSB,offense,Hangzhou Spark,5,5,21,21,693.0978781439363,473,454332.19811710715,2265.6800268292427,GODSB,Dragonbeard
125,GUARD,offense,London Spitfire,4,5,14,21,454.23466319262985,317,164400.37174344063,131334.2914491892,FreeAgent,FreeAgent
128,GUXUE,tank,Hangzhou Spark,5,5,6,21,142.6855746614337,106,89685.5746614337,0.0,FreeAgent,FreeAgent
131,HOTBA,tank,Guangzhou Charge,4,4,19,19,461.21175620323424,403,259639.13822227716,72.61798095703125,HOTBA,Overdrive
134,HAGOPEUN,support,Florida Mayhem,4,4,18,18,534.5594232208133,286,198882.58794277906,192676.8352780342,HAGOPEUN,Bobble
137,HAKSAL,offense,Vancouver Titans,4,4,17,17,570.1200284137726,399,170700.5702843666,199919.45812940598,HAKSAL,Not another
140,HAPPY,offense,Guangzhou Charge,4,4,19,19,553.2808325127661,388,328630.13244739175,30650.700065374374,HAPPY,Cougum
143,HYP,support,Paris Eternal,2,2,8,8,339.3074092811048,204,138281.1335478723,99026.2757332325,HYP,Not another
145,HYDRATION,offense,Los Angeles Gladiators,4,4,17,17,610.0384470696449,371,195437.07037687302,229101.3766927719,HYDRATION,Dragonbeard
148,HYEONU,support,Washington Justice,2,3,3,13,40.581309356570245,16,14670.488073825836,17910.821282744408,FreeAgent,FreeAgent
150,IZAYAKI,support,Los Angeles Valiant,4,4,18,18,784.5945791537761,354,345982.89138793945,261611.68776583672,IZAYAKI,Cougum
153,JJANU,tank,Vancouver Titans,4,4,17,17,514.6423331105411,442,293640.303096503,2.0300140380859375,JJANU,Not another
156,JJONAK,support,New York Excelsior,5,5,21,21,752.8956786571146,433,336367.38687568903,200028.29178142548,JJONAK,Dragonbeard
159,JAKE,offense,Houston Outlaws,4,4,11,18,257.5616453408003,181,96583.57616150379,70478.0691792965,JAKE,PopeRonPaul
161,JANUS,tank,Washington Justice,3,3,13,13,191.4854763697982,138,122485.47636979818,0.0,JANUS,MattyIce
164,JECSE,support,Seoul Dynasty,4,4,16,16,426.1963587243558,322,141083.0763348341,124113.2823895216,JECSE,Bobble
167,JINMU,offense,Chengdu Hunters,4,4,18,18,603.1024631705284,382,294016.8673171997,118085.5958533287,JINMU,Jyeran
170,KSF,offense,Los Angeles Valiant,2,4,2,18,81.69066369187831,49,57190.66369187832,0.0,FreeAgent,FreeAgent
172,KARIV,offense,Los Angeles Valiant,4,4,16,18,587.933258718878,381,396266.44501677155,1166.8137021064758,KARIV,MattyIce
175,KELLEX,support,Boston Uprising,4,4,15,17,434.959806170702,260,170866.3367652893,134093.46940541267,FreeAgent,FreeAgent
178,KODAK,support,Atlanta Reign,3,3,5,13,213.80856339216234,107,89632.87509346008,70675.68829870224,FreeAgent,FreeAgent
180,KRIS,support,Florida Mayhem,4,4,18,18,383.5062604602576,283,131089.98075032234,110916.27970993519,FreeAgent,FreeAgent
183,KRUISE,support,Paris Eternal,2,2,8,8,236.24895090425014,176,92543.5542421341,55705.39666211605,FreeAgent,FreeAgent
185,KUKI,tank,Los Angeles Valiant,3,4,12,18,287.31672939431667,171,104737.40465021133,97079.32474410534,FreeAgent,FreeAgent
188,KYB,offense,Guangzhou Charge,3,4,8,19,203.40034610109032,143,60990.73510377109,70909.61099731922,FreeAgent,FreeAgent
190,KYO,support,Chengdu Hunters,4,4,18,18,547.4731461229325,303,196006.86843681335,199966.27768611908,KYO,Dragonbeard
193,LINKZR,offense,Houston Outlaws,3,4,9,18,310.3046961628198,233,115920.1459786892,77884.55018413067,LINKZR,PopeRonPaul
195,LIBERO,offense,New York Excelsior,5,5,20,21,534.9716328169108,437,148429.58200395107,168042.05081295967,LIBERO,Dragonbeard
198,LUFFY,support,Shanghai Dragons,4,4,16,16,559.2393901295662,325,231924.92641496658,164814.4637145996,FreeAgent,FreeAgent
201,MANO,tank,New York Excelsior,5,5,21,21,479.5470786603689,430,264547.0786603689,0.0,MANO,Cougum
204,MASAA,support,Atlanta Reign,3,3,13,13,389.33610145175464,286,143170.03659558296,103166.06485617161,FreeAgent,FreeAgent
206,MCGRAVY,tank,Florida Mayhem,1,4,3,18,56.80514008468389,35,39305.140084683895,0.0,FreeAgent,FreeAgent
207,MEKO,tank,New York Excelsior,5,5,21,21,574.2160148991346,504,321845.1935386658,370.82136046886444,MEKO,Bobble
210,MICHELLE,tank,Seoul Dynasty,4,4,16,16,534.4287583915591,462,302875.38011056185,553.3782809972763,MICHELLE,Not another
213,MUMA,tank,Houston Outlaws,4,4,18,18,416.8877531608343,360,236887.7531608343,0.0,MUMA,PopeRonPaul
215,MUNCHKIN,offense,Seoul Dynasty,4,4,16,16,564.898051586628,402,182274.1435753107,181623.90801131725,MUNCHKIN,MattyIce
218,NLAAER,offense,Atlanta Reign,3,3,5,13,162.07862146878244,110,55916.8052713871,51161.816197395325,FreeAgent,FreeAgent
220,NUS,support,London Spitfire,5,5,21,21,559.7532918248176,359,213717.07233583927,166536.2194889784,NUS,MattyIce
223,NEKO,support,Toronto Defiant,1,4,4,17,134.47288728249072,47,59834.23891270161,51138.64836978912,NEKO,Cougum
224,NENNE,offense,New York Excelsior,5,5,21,21,705.9325765746236,530,440931.8753569722,0.7012176513671875,NENNE,Jyeran
227,NEVIX,tank,San Francisco Shock,4,4,5,17,168.66987334060667,130,103557.83432388306,112.03901672363281,FreeAgent,FreeAgent
