,player,match,game,Hero_name,damage,deaths,eliminations,healing,name,id_x,teamID,teamName,abbrev,points,id_y,tag
34,5831.0,21128.0,1.0,dva,12451.402639448643,3,28,4.09499979019165,Choihyobin,5831,4404,San Francisco Shock,SFS,26.455497639238835,21128,S1W1
35,4645.0,21128.0,5.0,brigitte,6409.9002594947815,6,17,10926.814378023148,Hydration,4645,4406,Los Angeles Gladiators,GLA,25.83671463751793,21128,S1W1
36,5715.0,21128.0,2.0,brigitte,7708.642939567566,8,9,12983.452375769615,Architect,5715,4404,San Francisco Shock,SFS,25.19209531533718,21128,S1W1
37,4488.0,21128.0,3.0,zenyatta,10109.25086593628,2,12,8949.162597060204,sleepy,4488,4404,San Francisco Shock,SFS,25.058413462996484,21128,S1W1
38,4139.0,21128.0,1.0,zarya,16803.258259892464,4,15,0.0,sinatraa,4139,4404,San Francisco Shock,SFS,24.303258259892463,21128,S1W1
39,5831.0,21128.0,5.0,sombra,13491.318807721138,4,21,285.9702453613281,Choihyobin,5831,4404,San Francisco Shock,SFS,24.277289053082463,21128,S1W1
40,5716.0,21128.0,2.0,lucio,10443.9916305542,6,8,9747.2609167099,moth,5716,4404,San Francisco Shock,SFS,24.1912525472641,21128,S1W1
41,5715.0,21128.0,3.0,brigitte,7183.213340759277,7,10,11338.790120124817,Architect,5715,4404,San Francisco Shock,SFS,23.522003460884093,21128,S1W1
42,5809.0,21128.0,5.0,dva,11966.719584792852,2,23,3.0943799018859863,Void,5809,4406,Los Angeles Gladiators,GLA,23.469813964694737,21128,S1W1
43,4643.0,21128.0,5.0,lucio,7604.293918609619,4,23,4082.225865840912,BigG00se,4643,4406,Los Angeles Gladiators,GLA,23.18651978445053,21128,S1W1
44,8222.0,21128.0,3.0,winston,12055.36667919159,4,21,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,22.55536667919159,21128,S1W1
45,5716.0,21128.0,5.0,lucio,6044.459083557129,7,15,7093.91563975811,moth,5716,4404,San Francisco Shock,SFS,20.638374723315238,21128,S1W1
46,4144.0,21128.0,5.0,sombra,10343.83466911316,2,20,21.419921875,Surefour,4144,4406,Los Angeles Gladiators,GLA,20.365254590988158,21128,S1W1
47,4645.0,21128.0,1.0,brigitte,5381.017831802368,7,16,6979.9304785728455,Hydration,4645,4406,Los Angeles Gladiators,GLA,20.360948310375214,21128,S1W1
48,4658.0,21128.0,5.0,brigitte,5226.508432388306,5,15,7163.010571599007,Rascal,4658,4404,San Francisco Shock,SFS,19.88951900398731,21128,S1W1
49,5716.0,21128.0,3.0,lucio,8112.885049819946,5,7,8041.006622850895,moth,5716,4404,San Francisco Shock,SFS,19.65389167267084,21128,S1W1
50,4488.0,21128.0,3.0,moira,3886.056640803814,4,6,12488.009891152382,sleepy,4488,4404,San Francisco Shock,SFS,19.374066531956196,21128,S1W1
51,5831.0,21128.0,2.0,dva,15020.9335514009,6,8,0.0,Choihyobin,5831,4404,San Francisco Shock,SFS,19.0209335514009,21128,S1W1
52,4490.0,21128.0,2.0,reinhardt,14017.207074165344,10,10,0.0,super,4490,4404,San Francisco Shock,SFS,19.017207074165345,21128,S1W1
53,5715.0,21128.0,1.0,brigitte,4760.341419219971,3,7,9857.199115395546,Architect,5715,4404,San Francisco Shock,SFS,18.117540534615515,21128,S1W1
54,4139.0,21128.0,1.0,brigitte,5146.711673736572,2,13,5235.0940099954605,sinatraa,4139,4404,San Francisco Shock,SFS,16.881805683732033,21128,S1W1
55,4490.0,21128.0,3.0,reinhardt,10853.893119812012,8,12,0.0,super,4490,4404,San Francisco Shock,SFS,16.853893119812014,21128,S1W1
56,8222.0,21128.0,5.0,winston,8033.563953876495,4,17,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,16.533563953876495,21128,S1W1
57,4610.0,21128.0,5.0,zarya,9830.718111991882,5,12,0.0,STRIKER,4610,4404,San Francisco Shock,SFS,15.830718111991882,21128,S1W1
58,4488.0,21128.0,5.0,moira,2891.558073580265,2,12,6367.159823060036,sleepy,4488,4404,San Francisco Shock,SFS,15.258717896640302,21128,S1W1
59,8222.0,21128.0,1.0,winston,8055.343591868877,5,13,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,14.555343591868878,21128,S1W1
60,4488.0,21128.0,5.0,zenyatta,7213.600540161133,7,5,4529.441961050034,sleepy,4488,4404,San Francisco Shock,SFS,14.243042501211168,21128,S1W1
61,5715.0,21128.0,3.0,junkrat,9151.146469116211,1,8,0.0,Architect,5715,4404,San Francisco Shock,SFS,13.151146469116211,21128,S1W1
62,8222.0,21128.0,1.0,reinhardt,8838.3842086792,3,7,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,12.3383842086792,21128,S1W1
63,7831.0,21128.0,5.0,wreckingball,7312.58741235733,4,10,0.0,Smurf,7831,4404,San Francisco Shock,SFS,12.312587412357331,21128,S1W1
64,7831.0,21128.0,1.0,winston,5354.128676891327,1,13,0.0,Smurf,7831,4404,San Francisco Shock,SFS,11.854128676891328,21128,S1W1
65,4144.0,21128.0,3.0,reaper,6792.311373114586,0,9,328.135470867157,Surefour,4144,4406,Los Angeles Gladiators,GLA,11.620446843981743,21128,S1W1
66,8222.0,21128.0,3.0,reinhardt,6079.042762756348,3,11,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,11.579042762756348,21128,S1W1
67,5809.0,21128.0,3.0,zarya,5125.712790727615,0,12,0.0,Void,5809,4406,Los Angeles Gladiators,GLA,11.125712790727615,21128,S1W1
68,7831.0,21128.0,1.0,reinhardt,6716.2934646606445,2,7,0.0,Smurf,7831,4404,San Francisco Shock,SFS,10.216293464660644,21128,S1W1
69,4488.0,21128.0,1.0,moira,2060.1698561906815,2,5,5288.618547201157,sleepy,4488,4404,San Francisco Shock,SFS,9.848788403391838,21128,S1W1
70,7831.0,21128.0,5.0,reinhardt,5839.271604537964,4,8,0.0,Smurf,7831,4404,San Francisco Shock,SFS,9.839271604537963,21128,S1W1
71,4645.0,21128.0,3.0,pharah,9296.872018814087,1,1,0.0,Hydration,4645,4406,Los Angeles Gladiators,GLA,9.796872018814087,21128,S1W1
72,4144.0,21128.0,5.0,zarya,3639.6748961806297,1,12,0.0,Surefour,4144,4406,Los Angeles Gladiators,GLA,9.63967489618063,21128,S1W1
73,8222.0,21128.0,5.0,reinhardt,5057.8475341796875,3,9,0.0,rOar,8222,4406,Los Angeles Gladiators,GLA,9.557847534179688,21128,S1W1
74,5715.0,21128.0,1.0,zarya,4996.171941399574,2,9,0.0,Architect,5715,4404,San Francisco Shock,SFS,9.496171941399574,21128,S1W1
75,4610.0,21128.0,5.0,widowmaker,4002.0194739103317,2,7,0.0,STRIKER,4610,4404,San Francisco Shock,SFS,7.502019473910332,21128,S1W1
76,4645.0,21128.0,1.0,pharah,6974.692579269409,1,1,0.0,Hydration,4645,4406,Los Angeles Gladiators,GLA,7.474692579269409,21128,S1W1
77,4139.0,21128.0,3.0,bastion,4701.864155769348,2,3,1051.9415109157562,sinatraa,4139,4404,San Francisco Shock,SFS,7.253805666685104,21128,S1W1
78,5809.0,21128.0,5.0,zarya,4252.621289253235,3,5,0.0,Void,5809,4406,Los Angeles Gladiators,GLA,6.752621289253235,21128,S1W1
79,4490.0,21128.0,3.0,orisa,4162.210466384888,3,5,0.0,super,4490,4404,San Francisco Shock,SFS,6.662210466384888,21128,S1W1
80,7831.0,21128.0,1.0,orisa,2386.4338607788086,2,8,0.0,Smurf,7831,4404,San Francisco Shock,SFS,6.3864338607788085,21128,S1W1
81,4144.0,21128.0,3.0,hanzo,5280.16852876544,2,1,0.0,Surefour,4144,4406,Los Angeles Gladiators,GLA,5.78016852876544,21128,S1W1
82,4644.0,21128.0,3.0,moira,1497.824494421482,1,4,2165.3928966522217,Shaz,4644,4406,Los Angeles Gladiators,GLA,5.663217391073704,21128,S1W1
83,5809.0,21128.0,4.0,zarya,3558.26396971941,2,4,0.0,Void,5809,4406,Los Angeles Gladiators,GLA,5.55826396971941,21128,S1W1
84,4144.0,21128.0,4.0,sombra,3233.1102085113525,0,4,0.0,Surefour,4144,4406,Los Angeles Gladiators,GLA,5.233110208511352,21128,S1W1
85,5716.0,21128.0,3.0,mercy,0.0,1,0,5082.768204808235,moth,5716,4404,San Francisco Shock,SFS,5.082768204808235,21128,S1W1
86,5715.0,21128.0,1.0,mccree,2992.3569946289062,1,4,0.0,Architect,5715,4404,San Francisco Shock,SFS,4.992356994628906,21128,S1W1
87,4144.0,21128.0,1.0,sombra,3373.769746541977,1,1,0.0,Surefour,4144,4406,Los Angeles Gladiators,GLA,3.873769746541977,21128,S1W1
88,4658.0,21128.0,5.0,ana,1066.6375260353088,3,2,1593.9050034284592,Rascal,4658,4404,San Francisco Shock,SFS,3.660542529463768,21128,S1W1
89,4644.0,21128.0,5.0,moira,701.802451968193,2,0,2280.21239900589,Shaz,4644,4406,Los Angeles Gladiators,GLA,2.9820148509740827,21128,S1W1
90,4643.0,21128.0,1.0,mercy,140.0,1,0,2814.9483219385147,BigG00se,4643,4406,Los Angeles Gladiators,GLA,2.954948321938515,21128,S1W1
91,4643.0,21128.0,3.0,mercy,74.0,1,0,2870.586584210396,BigG00se,4643,4406,Los Angeles Gladiators,GLA,2.9445865842103958,21128,S1W1
92,5715.0,21128.0,4.0,ana,518.2525005340576,1,3,902.2832415103912,Architect,5715,4404,San Francisco Shock,SFS,2.920535742044449,21128,S1W1
93,5831.0,21128.0,1.0,wreckingball,2405.8229010105133,2,1,0.0,Choihyobin,5831,4404,San Francisco Shock,SFS,2.9058229010105134,21128,S1W1
94,4139.0,21128.0,3.0,tracer,2285.6540496349335,5,1,0.0,sinatraa,4139,4404,San Francisco Shock,SFS,2.7856540496349336,21128,S1W1
95,5715.0,21128.0,4.0,roadhog,1186.8129138946533,0,1,772.5650882720947,Architect,5715,4404,San Francisco Shock,SFS,2.4593780021667477,21128,S1W1
96,4658.0,21128.0,5.0,pharah,1444.8539853096008,1,1,0.0,Rascal,4658,4404,San Francisco Shock,SFS,1.9448539853096007,21128,S1W1
97,5831.0,21128.0,2.0,wreckingball,1908.7048599720001,0,0,0.0,Choihyobin,5831,4404,San Francisco Shock,SFS,1.908704859972,21128,S1W1
98,4645.0,21128.0,3.0,wreckingball,962.0605735778809,1,1,0.0,Hydration,4645,4406,Los Angeles Gladiators,GLA,1.4620605735778809,21128,S1W1
99,4658.0,21128.0,5.0,ashe,1297.9368743896484,1,0,0.0,Rascal,4658,4404,San Francisco Shock,SFS,1.2979368743896484,21128,S1W1
100,5831.0,21128.0,5.0,dva,775.0372863411903,1,1,0.0,Choihyobin,5831,4404,San Francisco Shock,SFS,1.2750372863411903,21128,S1W1
